user_id,application_at,loan_outcome,application_year,application_month,application_day,is_weekend
1,2017-08-14 09:08:50.000000,0,2017,8,14,0
2,2016-05-17 10:10:12.447976,1,2016,5,17,0
3,2016-10-20 10:07:20.459081,0,2016,10,20,0
4,2017-01-13 13:03:34.000000,0,2017,1,13,0
5,2016-11-03 15:41:39.124610,1,2016,11,3,0
6,2018-02-25 14:43:24.000000,0,2018,2,25,1
7,2016-07-11 14:07:46.202826,1,2016,7,11,0
8,2017-02-20 16:22:44.000000,0,2017,2,20,0
9,2018-01-03 16:21:38.000000,0,2018,1,3,0
10,2018-02-01 11:24:01.000000,1,2018,2,1,0
11,2017-01-31 06:06:29.000000,1,2017,1,31,0
12,2018-08-04 03:05:50.000000,1,2018,8,4,1
13,2018-09-28 12:22:32.000000,0,2018,9,28,0
14,2017-12-15 20:09:28.000000,1,2017,12,15,0
15,2016-12-15 06:15:31.000000,1,2016,12,15,0
16,2017-06-08 06:32:33.000000,1,2017,6,8,0
17,2018-04-12 17:21:54.000000,1,2018,4,12,0
18,2017-03-05 07:32:18.000000,0,2017,3,5,1
19,2017-01-24 13:36:42.000000,1,2017,1,24,0
20,2018-09-17 10:30:08.000000,0,2018,9,17,0
21,2018-11-20 07:24:53.000000,1,2018,11,20,0
22,2018-09-26 16:36:13.000000,0,2018,9,26,0
23,2017-08-11 04:38:05.000000,0,2017,8,11,0
24,2018-08-23 05:34:43.000000,1,2018,8,23,0
25,2016-03-13 19:18:20.597393,1,2016,3,13,1
26,2018-02-21 09:38:01.000000,1,2018,2,21,0
27,2018-06-05 09:27:02.000000,1,2018,6,5,0
28,2016-12-30 13:59:12.000000,0,2016,12,30,0
29,2015-06-29 15:30:55.000000,1,2015,6,29,0
30,2016-09-03 20:29:01.104246,1,2016,9,3,1
31,2018-08-18 11:41:04.000000,1,2018,8,18,1
32,2018-01-09 03:08:25.000000,1,2018,1,9,0
33,2017-11-25 21:16:44.000000,0,2017,11,25,1
34,2016-11-16 16:34:56.545478,0,2016,11,16,0
35,2017-12-09 10:45:04.000000,1,2017,12,9,1
36,2017-07-12 12:25:13.000000,1,2017,7,12,0
37,2017-04-20 05:26:39.000000,1,2017,4,20,0
38,2016-12-01 13:59:49.000000,1,2016,12,1,0
39,2017-09-12 16:37:27.000000,1,2017,9,12,0
40,2018-03-04 15:43:17.000000,0,2018,3,4,1
41,2017-06-20 14:06:19.000000,0,2017,6,20,0
42,2017-08-29 03:44:07.000000,0,2017,8,29,0
43,2017-05-27 05:37:06.000000,1,2017,5,27,1
44,2017-07-27 03:37:08.000000,0,2017,7,27,0
45,2016-05-24 18:41:48.000000,1,2016,5,24,0
46,2017-06-27 19:24:55.000000,1,2017,6,27,0
47,2017-04-25 09:32:40.000000,0,2017,4,25,0
48,2017-05-29 19:22:31.000000,0,2017,5,29,0
49,2016-08-23 05:14:23.360387,1,2016,8,23,0
50,2017-01-31 16:21:49.000000,0,2017,1,31,0
51,2016-12-07 08:48:01.000000,1,2016,12,7,0
52,2018-05-05 13:21:37.000000,0,2018,5,5,1
53,2018-08-07 06:07:16.000000,0,2018,8,7,0
54,2017-08-01 12:33:25.000000,1,2017,8,1,0
55,2018-09-28 13:03:11.000000,1,2018,9,28,0
56,2016-09-19 19:53:05.843507,1,2016,9,19,0
57,2017-06-15 10:02:11.000000,1,2017,6,15,0
58,2017-09-06 08:57:36.000000,1,2017,9,6,0
59,2018-07-31 10:59:25.000000,0,2018,7,31,0
60,2016-06-29 14:12:54.652045,1,2016,6,29,0
61,2016-08-28 10:53:51.000000,0,2016,8,28,1
62,2017-12-05 07:10:15.000000,1,2017,12,5,0
63,2017-08-20 07:09:57.000000,0,2017,8,20,1
64,2017-08-07 15:44:14.000000,0,2017,8,7,0
65,2017-11-24 16:46:55.000000,1,2017,11,24,0
66,2018-09-06 14:59:46.000000,0,2018,9,6,0
67,2016-11-30 10:18:50.000000,0,2016,11,30,0
68,2017-01-19 14:37:01.000000,0,2017,1,19,0
69,2017-01-25 08:41:00.000000,0,2017,1,25,0
70,2018-10-29 17:33:06.000000,1,2018,10,29,0
71,2017-02-20 16:40:03.000000,0,2017,2,20,0
72,2018-05-02 09:21:25.000000,0,2018,5,2,0
73,2018-10-05 06:38:18.000000,1,2018,10,5,0
74,2017-03-10 13:37:47.000000,0,2017,3,10,0
75,2018-06-06 13:29:09.000000,0,2018,6,6,0
