user_id,application_at,loan_outcome,application_year,application_month,application_day,is_weekend,age,cash_incoming_30days,avg_accuracy,max_accuracy,avg_upload_delay,max_upload_delay,longitude,latitude
1,2017-08-14 09:08:50.000000,0,2017,8,14,0,42,8988.12,1105.0845714285715,4434.0,999.1,6735.0,36.84054,-1.294342
2,2016-05-17 10:10:12.447976,1,2016,5,17,0,36,9968.12,48.596,310.59,3810.1,37609.0,36.761261,-1.284719
3,2016-10-20 10:07:20.459081,0,2016,10,20,0,27,59.04,6.5,6.5,12.0,12.0,35.70755,-0.889673
4,2017-01-13 13:03:34.000000,0,2017,1,13,0,38,2129.03,2172.2,4292.0,73.5,83.0,36.069293,-0.299025
5,2016-11-03 15:41:39.124610,1,2016,11,3,0,33,2102.53,43.46111111111111,96.0,178.33333333333334,716.0,-73.903518,41.701694
6,2018-02-25 14:43:24.000000,0,2018,2,25,1,42,9305.85,2501.196551724138,4801.0,186.68965517241378,1871.0,34.728744,-0.066364
7,2016-07-11 14:07:46.202826,1,2016,7,11,0,28,2726.06,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
8,2017-02-20 16:22:44.000000,0,2017,2,20,0,25,6530.59,2082.542335766423,4388.0,1020.5109489051094,34953.0,34.805034,-0.079304
9,2018-01-03 16:21:38.000000,0,2018,1,3,0,25,1715.96,329.8209090909091,1800.0,51.0,662.0,36.760008,-1.39595
10,2018-02-01 11:24:01.000000,1,2018,2,1,0,34,9260.69,2235.1458333333335,4925.0,1961.5833333333333,16687.0,34.75894,0.596062
11,2017-01-31 06:06:29.000000,1,2017,1,31,0,32,4450.94,17.585,25.0,0.5,12.0,36.956551,-1.30881
12,2018-08-04 03:05:50.000000,1,2018,8,4,1,58,11278.26,1243.964859813084,4834.0,154.54205607476635,5401.0,36.876389,-1.318559
13,2018-09-28 12:22:32.000000,0,2018,9,28,0,62,12004.11,1936.4283333333335,3500.0,13.119047619047619,785.0,34.274128,0.07627
14,2017-12-15 20:09:28.000000,1,2017,12,15,0,25,3735.56,147.4745652173913,2100.0,15168.065217391304,150797.0,36.730765,-1.307843
15,2016-12-15 06:15:31.000000,1,2016,12,15,0,21,12906.77,110.72050000000002,1800.0,10055.95,35975.0,36.822605,-1.277864
16,2017-06-08 06:32:33.000000,1,2017,6,8,0,22,8167.19,545.7765517241379,3804.0,350.9310344827586,5895.0,36.747113,-1.281035
17,2018-04-12 17:21:54.000000,1,2018,4,12,0,22,2406.99,1248.2826086956522,3470.0,695.0144927536232,11319.0,36.939832,-0.416144
18,2017-03-05 07:32:18.000000,0,2017,3,5,1,53,2234.82,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
19,2017-01-24 13:36:42.000000,1,2017,1,24,0,25,22413.3,675.9507142857143,3364.0,167.9047619047619,4563.0,36.8489,-1.299482
20,2018-09-17 10:30:08.000000,0,2018,9,17,0,31,9047.51,42.265,91.04,2.0,3.0,36.86261,-1.305611
21,2018-11-20 07:24:53.000000,1,2018,11,20,0,39,4406.11,15.765,16.62,6.0,8.0,39.649226,-4.018391
22,2018-09-26 16:36:13.000000,0,2018,9,26,0,32,8202.92,409.79717391304354,2478.0,4299.695652173913,42120.0,37.007135,-1.459915
23,2017-08-11 04:38:05.000000,0,2017,8,11,0,21,13612.49,1533.0008620689655,3757.0,2943.137931034483,43070.0,35.24619,0.527447
24,2018-08-23 05:34:43.000000,1,2018,8,23,0,31,22526.55,129.57316666666668,1700.0,85.33333333333333,1940.0,36.870553,-1.302786
25,2016-03-13 19:18:20.597393,1,2016,3,13,1,50,1592.98,406.9047619047619,1708.0,8264.0,35125.0,36.800214,-1.278666
26,2018-02-21 09:38:01.000000,1,2018,2,21,0,44,3226.42,1508.8648611111112,3800.0,1788.5555555555557,46515.0,35.87062,-1.10773
27,2018-06-05 09:27:02.000000,1,2018,6,5,0,38,2543.2,2732.703027522936,4427.0,148.56880733944953,1837.0,35.52638,-0.970481
28,2016-12-30 13:59:12.000000,0,2016,12,30,0,65,3219.04,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
29,2015-06-29 15:30:55.000000,1,2015,6,29,0,30,19743.76,403.71485436893204,4173.0,47.51456310679612,932.0,36.817003,-1.30584
30,2016-09-03 20:29:01.104246,1,2016,9,3,1,19,27563.58,271.0908885298869,2300.0,25.163166397415186,4472.0,34.207096,0.665476
31,2018-08-18 11:41:04.000000,1,2018,8,18,1,50,4812.71,417.0905194805195,3406.0,1079.5064935064936,37707.0,36.799254,-1.188602
32,2018-01-09 03:08:25.000000,1,2018,1,9,0,48,18483.95,214.99478260869566,2300.0,748.1304347826087,17126.0,36.871854,-1.230011
33,2017-11-25 21:16:44.000000,0,2017,11,25,1,68,1188.25,2270.3278688524592,5000.0,971668.1147540984,59262562.0,34.731877,-0.805497
34,2016-11-16 16:34:56.545478,0,2016,11,16,0,22,6616.57,505.1568421052632,1916.0,290.09473684210525,5860.0,36.808606,-1.281591
35,2017-12-09 10:45:04.000000,1,2017,12,9,1,44,14328.19,277.1144117647059,2857.0,311.96078431372547,11568.0,36.864242,-1.291338
36,2017-07-12 12:25:13.000000,1,2017,7,12,0,25,2642.04,130.460625,3622.0,712.5178571428571,32213.0,36.855055,-1.267649
37,2017-04-20 05:26:39.000000,1,2017,4,20,0,48,3936.59,1149.05683908046,4752.0,359.11494252873564,8433.0,36.754529,-1.247521
38,2016-12-01 13:59:49.000000,1,2016,12,1,0,34,11899.34,213.04096774193548,2000.0,333.14516129032256,4133.0,36.803921,-1.27724
39,2017-09-12 16:37:27.000000,1,2017,9,12,0,32,11840.28,34.364444444444445,128.9,42.333333333333336,350.0,36.771258,-1.273633
40,2018-03-04 15:43:17.000000,0,2018,3,4,1,33,2152.94,42.035,64.0,51.5,101.0,36.971445,-1.427334
41,2017-06-20 14:06:19.000000,0,2017,6,20,0,33,397.68,1416.8829047619047,3000.0,81.05238095238096,5053.0,39.630672,-4.02582
42,2017-08-29 03:44:07.000000,0,2017,8,29,0,44,9738.2,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
43,2017-05-27 05:37:06.000000,1,2017,5,27,1,18,10405.98,554.2633333333334,3759.0,3551.733333333333,60112.0,36.324477,-0.500539
44,2017-07-27 03:37:08.000000,0,2017,7,27,0,19,9449.87,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
45,2016-05-24 18:41:48.000000,1,2016,5,24,0,36,14492.72,197.3856923076923,1808.0,177.52307692307693,1351.0,36.913682,-1.282566
46,2017-06-27 19:24:55.000000,1,2017,6,27,0,53,16396.87,50.605714285714285,96.0,291.14285714285717,1864.0,36.752952,-1.324546
47,2017-04-25 09:32:40.000000,0,2017,4,25,0,19,11211.32,384.22325,3496.0,456.0,16548.0,36.816395,-1.30775
48,2017-05-29 19:22:31.000000,0,2017,5,29,0,40,2905.3,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
49,2016-08-23 05:14:23.360387,1,2016,8,23,0,23,9631.46,2532.0135999999998,3660.0,142.2,2660.0,37.103082,-0.00211
50,2017-01-31 16:21:49.000000,0,2017,1,31,0,36,2207.08,786.5425,2277.0,1934.5,6486.0,34.769633,0.28903
51,2016-12-07 08:48:01.000000,1,2016,12,7,0,59,1467.87,1555.494651162791,4500.0,100.61627906976744,1649.0,37.136769,-1.054055
52,2018-05-05 13:21:37.000000,0,2018,5,5,1,48,1941.81,2066.6666666666665,2300.0,27.666666666666668,52.0,36.040131,-0.301046
53,2018-08-07 06:07:16.000000,0,2018,8,7,0,73,7178.59,2272.0428571428574,3400.0,326.23809523809524,3460.0,36.565402,-0.973158
54,2017-08-01 12:33:25.000000,1,2017,8,1,0,22,3662.82,417.87190184049075,2331.0,4432.036809815951,137450.0,36.823349,-1.329453
55,2018-09-28 13:03:11.000000,1,2018,9,28,0,32,4974.21,931.7420289855072,5000.0,3019.840579710145,54177.0,36.947264,-1.278554
56,2016-09-19 19:53:05.843507,1,2016,9,19,0,39,6744.91,9.45,13.0,2.1875,7.0,36.808553,-1.308508
57,2017-06-15 10:02:11.000000,1,2017,6,15,0,51,22663.6,1620.9214285714286,4247.0,193.0,775.0,39.707021,-4.019805
58,2017-09-06 08:57:36.000000,1,2017,9,6,0,54,3605.76,469.6620408163265,3500.0,-36433.836734693876,25909.0,36.747362,-1.31653
59,2018-07-31 10:59:25.000000,0,2018,7,31,0,29,2915.96,2117.4908333333333,3964.0,74.70833333333333,490.0,34.717787,-0.674608
60,2016-06-29 14:12:54.652045,1,2016,6,29,0,47,26459.98,0.0,0.0,0.0,0.0,36.8169925,-1.2636690000000002
61,2016-08-28 10:53:51.000000,0,2016,8,28,1,45,2710.62,7.5,14.2,302.5,5290.0,34.288459,0.063003
62,2017-12-05 07:10:15.000000,1,2017,12,5,0,41,14784.14,1492.8656,4898.0,115.8,355.0,36.975123,-0.411877
